I1  n. (also i) (pl. Is or i's) 1 ninth letter of the alphabet. 2 (as a roman numeral) 1.

I2  pron. (obj. Me; poss. My, mine; pl. We) used by a speaker or writer to refer to himself or herself. [old english]

I3  symb. Iodine.

I4  abbr. (also i.) 1 island(s). 2 isle(s).

-ial  var. Of *-al.

Iambic  prosody —adj. Of or using iambuses. —n. (usu. In pl.) Iambic verse.

Iambus  n. (pl. -buses or -bi) metrical foot consisting of one short followed by one long syllable (&iambus.). [greek, = lampoon]

-ian  var. Of *-an.

Iba  abbr. Independent broadcasting authority.

Iberian  —adj. Of iberia, the peninsula comprising spain and portugal; of spain and portugal. —n. Native or language of iberia. [latin iberia]

Ibex  n. (pl. -es) wild mountain goat with thick curved ridged horns. [latin]

Ibid.  Abbr. In the same book or passage etc. [latin ibidem in the same place]

-ibility  suffix forming nouns from, or corresponding to, adjectives in -ible.

Ibis  n. (pl. -es) wading bird with a curved bill, long neck, and long legs. [greek, from egyptian]

-ible  suffix forming adjectives meaning ‘that may or may be’ (forcible; possible). [latin]
-ible  suffix forming adjectives meaning ‘that may or may be’ (forcible; possible). [latin]

-ibly  suffix forming adverbs corresponding to adjectives in -ible.

Ibo  n. (also igbo) (pl. Same or -s) 1 member of a black people of se nigeria. 2 their language. [native name]

-ic  suffix 1 forming adjectives (arabic; classic; public) and nouns (critic; epic; mechanic; music). 2 combined in higher valence or degree of oxidation (ferric; sulphuric). [latin -icus, greek -ikos]

-ical  suffix forming adjectives corresponding to nouns or adjectives in -ic or -y (classical; historical).

Ice  —n. 1 a frozen water. B sheet of this on water. 2 ice-cream or water-ice (ate an ice). —v. (icing) 1 mix with or cool in ice (iced drinks). 2 (often foll. By over, up) a cover or become covered with ice. B freeze. 3 cover (a cake etc.) With icing.  on ice 1 performed by skaters. 2 colloq. In reserve. On thin ice in a risky situation. [old english]

Ice age  n. Glacial period.

Ice-axe  n. Cutting tool used by mountaineers.

Iceberg  n. Large floating mass of ice.  the tip of the iceberg small perceptible part of something very large or complex. [dutch]

Iceberg lettuce  n. Crisp type of round lettuce.

Ice blue  adj. & n. (as adj. Often hyphenated) very pale blue.

Icebox  n. 1 compartment in a refrigerator for making or storing ice. 2 us refrigerator.

Ice-breaker  n. 1 ship designed to break through ice. 2 joke, incident, etc. That breaks the ice.

Ice bucket  n. Bucket holding ice, used to chill wine.

Ice cap  n. Permanent covering of ice, esp. In polar regions.

Ice-cream  n. Sweet creamy frozen food, usu. Flavoured.

Ice-cube  n. Small block of ice for drinks etc.

Ice-field  n. Expanse of ice, esp. In polar regions.

Ice hockey  n. Form of hockey played on ice.

Icelander  n. 1 native or national of iceland. 2 person of icelandic descent.

Icelandic  —adj. Of iceland. —n. Language of iceland.

Ice lolly  n. (also iced lolly) flavoured ice on a stick.

Ice-pack  n. 1 = *pack ice. 2 ice applied to the body for medical purposes.

Ice-pick  n. Tool with a spike for splitting up ice.

Ice-plant  n. Plant with speckled leaves.

Ice-rink  n. = *rink n. 1.

Ice-skate  —n. Boot with a blade beneath, for skating on ice. —v. Skate on ice.  ice-skater n.

Ichneumon  n. 1 (in full ichneumon fly) small wasp depositing eggs in or on the larva of another as food for its own larva. 2 mongoose noted for destroying crocodile eggs. [greek from ikhnos footstep]

Ichthyology  n. The study of fishes.  ichthyological adj. Ichthyologist n. [greek ikhthus fish]

Ichthyosaurus  n. (also ichthyosaur) (pl. -sauruses or -saurs) extinct marine reptile with four flippers and usu. A large tail. [greek ikhthus fish, sauros lizard]

-ician  suffix forming nouns denoting persons skilled in subjects having nouns usu. Ending in -ic or -ics (magician; politician). [french -icien]

Icicle  n. Hanging tapering piece of ice, formed from dripping water. [from *ice, obsolete ickle icicle]

Icing  n. 1 coating of sugar etc. On a cake or biscuit. 2 formation of ice on a ship or aircraft.  icing on the cake inessential though attractive addition or enhancement.

Icing sugar  n. Finely powdered sugar.

Icon  n. (also ikon) 1 painting of christ etc., esp. In the eastern church. 2 image or statue. 3 symbol on a vdu screen of a program, option, or window, esp. For selection.  iconic adj. [greek eikon image]
Iconoclast  n. 1 person who attacks cherished beliefs. 2 hist. Person destroying religious images.  iconoclasm n. Iconoclastic adj. [greek: related to *icon, klao break]

Iconography  n. 1 the illustration of a subject by drawings or figures. 2 the study of portraits, esp. Of an individual, or of artistic images or symbols. [greek: related to *icon]

Iconostasis  n. (pl. -stases) (in the eastern church) screen bearing icons. [greek: related to *icon]

Icosahedron  n. Solid figure with twenty faces. [greek eikosi twenty, hedra base]

-ics  suffix (treated as sing. Or pl.) Forming nouns denoting arts, sciences, etc. (athletics; politics).

Icy  adj. (-ier, -iest) 1 very cold. 2 covered with or abounding in ice. 3 (of a tone or manner) unfriendly, hostile.  icily adv. Iciness n.

Id  abbr. Identification, identity (id card).

Id  n. Person's inherited unconscious psychological impulses. [latin, = that]

I'd  contr. 1 i had. 2 i should; i would.

-ide  suffix chem. Forming nouns denoting binary compounds of an element (sodium chloride; lead sulphide; calcium carbide). [extended from *oxide]

Idea  n. 1 plan etc. Formed by mental effort (an idea for a book). 2 a mental impression or concept. B vague belief or fancy (had an idea you were married). 3 intention or purpose (the idea is to make money). 4 archetype or pattern. 5 ambition or aspiration (have ideas; put ideas into a person's head).  have no idea colloq. 1 not know at all. 2 be completely incompetent. Not one's idea of colloq. Not what one regards as (not my idea of a holiday). [greek, = form, kind]

Ideal  —adj. 1 answering to one's highest conception; perfect. 2 existing only in idea; visionary. —n. Perfect type, thing, concept, principle, etc., esp. As a standard to emulate. [french: related to *idea]

Idealism  n. 1 forming or pursuing ideals, esp. Unrealistically. 2 representation of things in ideal form. 3 system of thought in which objects are held to be in some way dependent on the mind.  idealist n. Idealistic adj. Idealistically adv.

Idealize  v. (also -ise) (-zing or -sing) regard or represent as ideal or perfect.  idealization n.

Ideally  adv. 1 in ideal circumstances. 2 according to an ideal.

Idée fixe  n. (pl. Idées fixes pronunc. Same) dominating idea; obsession. [french, = fixed idea]

Identical  adj. 1 (often foll. By with) (of different things) absolutely alike. 2 one and the same. 3 (of twins) developed from a single ovum.  identically adv. [latin identicus: related to *identity]

Identification  n. 1 identifying. 2 means of identifying (also attrib.: identification card).

Identification parade  n. Group of people from whom a suspect is to be identified.

Identify  v. (-ies, -ied) 1 establish the identity of; recognize. 2 select or discover (identify the best solution). 3 (also refl.; foll. By with) associate inseparably or very closely (with a party, policy, etc.). 4 (often foll. By with) treat as identical. 5 (foll. By with) put oneself in the place of (another person).  identifiable adj. [medieval latin identifico: related to *identity]

Identikit  n. (often attrib.) Propr. Picture of esp. A wanted suspect assembled from standard components using witnesses' descriptions. [from *identity, *kit]

Identity  n. (pl. -ies) 1 a condition of being a specified person or thing. B individuality, personality (felt he had lost his identity). 2 identification or the result of it (mistaken identity; identity card). 3 absolute sameness (identity of interests). 4 algebra a equality of two expressions for all values of the quantities. B equation expressing this. [latin identitas from idem same]
Ideogram  n. Character symbolizing a thing without indicating the sounds in its name (e.g. A numeral, chinese characters). [greek idea form, *-gram]

Ideograph  n. = *ideogram.  ideographic adj. Ideography n.

Ideologue  n. Often derog. Adherent of an ideology. [french: related to *idea]

Ideology  n. (pl. -ies) 1 ideas at the basis of an economic or political theory (marxist ideology). 2 characteristic thinking of a class etc. (bourgeois ideology).  ideological adj. Ideologically adv. Ideologist n. [french: related to *idea, *-logy]

Ides  n.pl. Day of the ancient roman month (the 15th day of march, may, july, and october, the 13th of other months). [latin idus]

Idiocy  n. (pl. -ies) 1 foolishness; foolish act. 2 extreme mental imbecility.

Idiom  n. 1 phrase etc. Established by usage and not immediately comprehensible from the words used (e.g. Over the moon, see the light). 2 form of expression peculiar to a language etc. 3 language of a people or country. 4 characteristic mode of expression in art etc. [greek idios own]

Idiomatic  adj. 1 relating or conforming to idiom. 2 characteristic of a particular language.  idiomatically adv.

Idiosyncrasy  n. (pl. -ies) attitude, behaviour, or opinion peculiar to a person; anything highly individual or eccentric.  idiosyncratic adj. Idiosyncratically adv. [greek idios private, sun with, krasis mixture]

Idiot  n. 1 stupid person. 2 mentally deficient person incapable of rational conduct.  idiotic adj. Idiotically adv. [greek idiotes, = private citizen, ignorant person]

Idle  —adj. (idler, idlest) 1 lazy, indolent. 2 not in use; not working. 3 (of time etc.) Unoccupied. 4 purposeless; groundless (idle rumour). 5 useless, ineffective (idle protest). —v. (-ling) 1 be idle. 2 run (an engine) or (of an engine) be run slowly without doing any work. 3 (foll. By away) pass (time etc.) In idleness.  idleness n. Idler n. Idly adv. [old english]

Idol  n. 1 image of a deity etc. As an object of worship. 2 object of excessive or supreme adulation. [greek eidolon image, phantom]

Idolater  n. 1 worshipper of idols. 2 devoted admirer.  idolatrous adj. Idolatry n. [related to *idol, greek latreuo worship]

Idolize  v. (also -ise) (-zing or -sing) 1 venerate or love excessively. 2 make an idol of.  idolization n.

Idyll  n. 1 short description, esp. In verse, of a peaceful or romantic, esp. Rural, scene or incident. 2 such a scene or incident. [greek eidullion]

Idyllic  adj. 1 blissfully peaceful and happy. 2 of or like an idyll.  idyllically adv.

I.e.  Abbr. That is to say. [latin id est]

-ie  see *-y2.

If  —conj. 1 introducing a conditional clause: a on the condition or supposition that; in the event that (if he comes i will tell him; if you are tired we can rest). B (with past tense) implying that the condition is not fulfilled (if i knew i would say). 2 even though (i'll finish it, if it takes me all day). 3 whenever (if i am not sure i ask). 4 whether (see if you can find it). 5 expressing a wish, surprise, or request (if i could just try!; if it isn't my old hat!; if you wouldn't mind?). —n. Condition, supposition (too many ifs about it).  if only 1 even if for no other reason than (i'll come if only to see her). 2 (often ellipt.) Expression of regret; i wish that (if only i had thought of it). [old english]

Iffy  adj. (-ier, -iest) colloq. Uncertain; dubious.

Igbo  var. Of *ibo.

Igloo  n. Eskimo dome-shaped dwelling, esp. Of snow. [eskimo, = house]

Igneous  adj. 1 of fire; fiery. 2 (esp. Of rocks) volcanic. [latin ignis fire]
Ignite  v. (-ting) 1 set fire to. 2 catch fire. 3 provoke or excite (feelings etc.). [latin ignio ignit- set on fire]

Ignition  n. 1 mechanism for, or the action of, starting combustion in an internal-combustion engine. 2 igniting or being ignited.

Ignoble  adj. (-bler, -blest) 1 dishonourable. 2 of low birth, position, or reputation.  ignobly adv. [latin: related to *in-1, *noble]

Ignominious  adj. Shameful, humiliating.  ignominiously adv. [latin: related to *ignominy]

Ignominy  n. Dishonour, infamy. [latin: related to *in-1, latin (g)nomen name]

Ignoramus  n. (pl. -muses) ignorant person. [latin, = we do not know: related to *ignore]

