L1  n. (also l) (pl. Ls or l's) 1 twelfth letter of the alphabet. 2 (as a roman numeral) 50.

L2  abbr. (also l.) 1 learner driver. 2 lake.

L  abbr. (also l.) 1 left. 2 line. 3 litre(s).

£  abbr. Pound(s) (money). [latin libra]

La  abbr. Los angeles.

La  symb. Lanthanum.

La  var. Of *lah.

Lab.  Abbr. Labour.

Lab  n. Colloq. Laboratory. [abbreviation]

Label  —n. 1 piece of paper etc. Attached to an object to give information about it. 2 short classifying phrase applied to a person etc. 3 logo, title, or trademark of a company. —v. (-ll-; us -l-) 1 attach a label to. 2 (usu. Foll. By as) assign to a category. 3 replace (an atom) by an atom of a usu. Radioactive isotope as a means of identification. [french]

Labial  —adj. 1 a of the lips. B of, like, or serving as a lip. 2 (of a sound) requiring partial or complete closure of the lips. —n. Labial sound (e.g. P, m, v). [latin labia lips]

Labium  n. (pl. Labia) (usu. In pl.) Each fold of skin of the two pairs enclosing the vulva. [latin, = lip]

Labor  etc. Us & austral. Var. Of *labour etc.

Laboratory  n. (pl. -ies) room, building, or establishment for scientific experiments, research, chemical manufacture, etc. [latin: related to *laborious]

Laborer  n. (brit. Labourer) person doing unskilled, usu. Manual, work for wages.

Laborious  adj. 1 needing hard work or toil. 2 (esp. Of literary style) showing signs of toil.  laboriously adv. [latin: related to *labour]

Labour  (us & austral. Labor) —n. 1 physical or mental work; exertion. 2 a workers, esp. Manual, considered as a political and economic force. B (labour) labour party. 3 process of childbirth. 4 particular task. —v. 1 work hard; exert oneself. 2 a elaborate needlessly (don't labour the point). B (as laboured adj.) Done with great effort; not spontaneous.
Labour camp  n. Prison camp enforcing a regime of hard labour.

Labour day  n. May 1 (or in the us and canada the first monday in september), celebrated in honour of working people.

Labourer  n. (us laborer) person doing unskilled, usu. Manual, work for wages.

Labour exchange  n. Colloq. Or hist. Employment exchange.

Labour party  n. Political party formed to represent the interests of working people.

Labour-saving  adj. Designed to reduce or eliminate work.

Labrador  n. Retriever of a breed with a black or golden coat. [labrador in canada]

Laburnum  n. Tree with drooping golden flowers yielding poisonous seeds. [latin]

Labyrinth  n. 1 complicated network of passages etc. 2 intricate or tangled arrangement. 3 the complex structure of the inner ear.  labyrinthine adj. [latin from greek]

Lac  n. Resinous substance secreted as a protective covering by a se asian insect. [hindustani]

Lace  —n. 1 fine open fabric or trimming, made by weaving thread in patterns. 2 cord etc. Passed through holes or hooks for fastening shoes etc. —v. (-cing) 1 (usu. Foll. By up) fasten or tighten with a lace or laces. 2 add spirits to (a drink). 3 (often foll. By through) pass (a shoelace etc.) Through. [latin laqueus noose]

Lacerate  v. (-ting) 1 mangle or tear (esp. Flesh etc.). 2 cause pain to (the feelings etc.).  laceration n. [latin lacer torn]

Lace-up  —n. Shoe fastened with a lace. —attrib. Adj. (of a shoe etc.) Fastened by a lace or laces.

Lachrymal  adj. (also lacrimal) of or for tears (lacrimal duct). [latin lacrima tear]

Lachrymose  adj. Formal given to weeping; tearful.

Lack  —n. (usu. Foll. By of) want, deficiency. —v. Be without or deficient in. [low german or dutch]

Lackadaisical  adj. Unenthusiastic; listless; idle.  lackadaisically adv. [from archaic lackaday]

Lackey  n. (pl. -s) 1 servile follower; toady. 2 footman, manservant. [catalan alacay]

Lacking  adj. Absent or deficient (money was lacking; is lacking in determination).

Lackluster  adj. (brit. Lacklustre) 1 lacking in vitality etc. 2 dull.

Lacklustre  adj. (us lackluster) 1 lacking in vitality etc. 2 dull.

Laconic  adj. Terse, using few words.  laconically adv. [greek lakon spartan]

